date,coin,price,volume,market_cap
2024-10-03 00:00:00,BTC,60655.55979196848,41870731291.86736,1198652098493.4897
2024-10-04 00:00:00,BTC,60727.86395169296,37711138441.76231,1200491237695.5154
2024-10-05 00:00:00,BTC,62103.01047283253,30349059838.684578,1226663492771.043
2024-10-06 00:00:00,BTC,62091.932585194016,11095453162.990673,1226761949791.163
2024-10-07 00:00:00,BTC,62811.79972811266,14592422860.685436,1241834324867.657
2024-10-08 00:00:00,BTC,62287.39010510681,33878876147.30253,1231091696620.0955
2024-10-09 00:00:00,BTC,62185.230423727575,28626429276.55382,1229717180592.4397
2024-10-10 00:00:00,BTC,60597.15045618275,28530748117.898792,1197736450280.4102
2024-10-11 00:00:00,BTC,60195.18073772453,29481971885.649742,1189691671375.1472
2024-10-12 00:00:00,BTC,62392.34048293159,32008659336.482643,1233357176570.333
2024-10-13 00:00:00,BTC,63207.77062127557,17665963646.417107,1249002272717.2275
2024-10-14 00:00:00,BTC,62829.533686088886,16784552979.060463,1241241970951.0295
2024-10-15 00:00:00,BTC,66049.99492708022,46553796134.14602,1306085613997.8015
2024-10-16 00:00:00,BTC,66962.21994496793,51797932876.82809,1323774576161.621
2024-10-17 00:00:00,BTC,67647.54414766871,40640495380.19594,1337304399194.887
2024-10-18 00:00:00,BTC,67328.10527002988,34512072357.92087,1330387728623.8188
2024-10-19 00:00:00,BTC,68465.61920668735,39984956633.228035,1353541799303.4875
2024-10-20 00:00:00,BTC,68388.87128965274,14110889435.452631,1351942347611.1997
2024-10-21 00:00:00,BTC,68962.82918045693,17253863432.786995,1362381684459.9053
2024-10-22 00:00:00,BTC,67394.85775735618,40485496091.95008,1332326858574.4448
2024-10-23 00:00:00,BTC,67351.04793512498,31398389967.38113,1331426858508.4004
2024-10-24 00:00:00,BTC,66683.96806542306,32676918488.059,1318285437546.2786
2024-10-25 00:00:00,BTC,68214.05205157402,35892606570.03549,1347888109010.5889
2024-10-26 00:00:00,BTC,66585.66535501445,48426924850.053406,1313975091942.221
2024-10-27 00:00:00,BTC,67018.1650170265,21169467789.89267,1325192118637.2595
2024-10-28 00:00:00,BTC,67938.55412885673,16533385730.434193,1343350549900.1233
2024-10-29 00:00:00,BTC,69845.304531169,41990540384.96554,1380874923096.4146
2024-10-30 00:00:00,BTC,72781.11308158132,65487782004.97014,1439310420089.3665
2024-10-31 00:00:00,BTC,72342.62171127986,43498144313.67304,1431085552900.1965
2024-11-01 00:00:00,BTC,70264.99735573279,45907074188.570145,1390195908292.9321
2024-11-02 00:00:00,BTC,69507.92256395647,54863092261.31101,1374687306836.925
2024-11-03 00:00:00,BTC,69299.16036699413,14709379754.965973,1370516856365.7996
2024-11-04 00:00:00,BTC,68803.50626277467,37659435506.757034,1362302032218.0198
2024-11-05 00:00:00,BTC,67793.29782704762,46183110993.79166,1340192510479.9568
2024-11-06 00:00:00,BTC,69335.42553133758,40025021601.49395,1370963795352.6948
2024-11-07 00:00:00,BTC,75620.88606963192,128492534668.23851,1496392703840.9058
2024-11-08 00:00:00,BTC,75987.24178320667,66590396087.4524,1502620808927.6982
2024-11-09 00:00:00,BTC,76550.0213845611,50687468387.720375,1514048743889.1255
2024-11-10 00:00:00,BTC,76630.22631415377,31430906055.796104,1519470275068.1016
2024-11-11 00:00:00,BTC,80466.71654833542,93473126207.67865,1590846468754.067
2024-11-12 00:00:00,BTC,88637.42000322911,133959805308.72511,1756619702929.0437
2024-11-13 00:00:00,BTC,88264.59974582895,152356811694.44943,1741113172482.1243
2024-11-14 00:00:00,BTC,90488.10007497849,136046309843.60645,1790737763695.3328
2024-11-15 00:00:00,BTC,87407.51273710128,99649391847.08359,1726797438787.217
2024-11-16 00:00:00,BTC,90947.97509443703,84382485697.84985,1799276211921.9302
2024-11-17 00:00:00,BTC,90606.45489380708,49255174407.368774,1790415769635.4927
2024-11-18 00:00:00,BTC,89841.47194135105,48556083101.64749,1776887033229.9082
2024-11-19 00:00:00,BTC,90534.62459650292,77391724184.19348,1790917617392.4407
2024-11-20 00:00:00,BTC,92251.65240738312,80493234958.49161,1825195454018.501
2024-11-21 00:00:00,BTC,94217.02229634205,80747272080.24826,1862618759426.145
2024-11-22 00:00:00,BTC,98509.11859102432,118163852022.3175,1948284556982.0486
2024-11-23 00:00:00,BTC,98927.49494553401,85746174563.98602,1958091000957.8345
2024-11-24 00:00:00,BTC,97679.46381643033,47414200206.70341,1931255637661.502
2024-11-25 00:00:00,BTC,98015.9355289458,50665680246.86775,1939446484727.4285
2024-11-26 00:00:00,BTC,93004.70093103287,89476321216.0935,1838788677873.8657
2024-11-27 00:00:00,BTC,91931.83077291827,97389239315.52954,1819990514406.0881
2024-11-28 00:00:00,BTC,95981.18057210564,81469353259.75,1899088665519.225
2024-11-29 00:00:00,BTC,95661.59595817851,49067932024.40325,1892297852304.72
2024-11-30 00:00:00,BTC,97453.2473451042,74670031635.5065,1926826079390.2441
2024-12-01 00:00:00,BTC,96513.14234698225,43580019720.720634,1910022814269.8855
2024-12-02 00:00:00,BTC,97311.70719084324,49147687432.565895,1925808416477.5068
2024-12-03 00:00:00,BTC,95833.1362300365,101019861361.49252,1896576914275.523
2024-12-04 00:00:00,BTC,96031.63097759831,87935752287.975,1900922167493.3643
2024-12-05 00:00:00,BTC,98881.4694561823,98230784298.0459,1957276192604.2603
2024-12-06 00:00:00,BTC,97201.50036407741,190460293531.53802,1920742551503.6094
2024-12-07 00:00:00,BTC,99973.85150659826,115812632020.44765,1978389972043.7947
2024-12-08 00:00:00,BTC,99781.82999198174,61061136199.7846,1974739091620.7542
2024-12-09 00:00:00,BTC,101235.3717025316,62677764785.05408,2003238967638.8286
2024-12-10 00:00:00,BTC,97353.94700820887,146846843211.51685,1926047690157.6282
2024-12-11 00:00:00,BTC,96649.71446771531,125835977742.51114,1913115778728.2837
2024-12-12 00:00:00,BTC,101123.61811033697,118484957960.76833,2001746436338.842
2024-12-13 00:00:00,BTC,100000.80836535197,100092043319.81221,1979166149963.3093
2024-12-14 00:00:00,BTC,101352.22971292294,78802903278.85962,2005406021235.8357
2024-12-15 00:00:00,BTC,101367.01064553364,57321924844.41535,2007646386698.8667
2024-12-16 00:00:00,BTC,104721.50151808978,70645074624.52869,2075487816560.1924
2024-12-17 00:00:00,BTC,106074.10723541168,115184737759.33566,2097460193710.789
2024-12-18 00:00:00,BTC,106034.913402645,93417826250.1972,2100629850064.9119
2024-12-19 00:00:00,BTC,100355.5761481501,113692025885.44745,1985284833093.572
2024-12-20 00:00:00,BTC,97851.35377075805,100611554887.24123,1937022229972.2085
2024-12-21 00:00:00,BTC,97691.43431692653,112340864006.62827,1932373308116.0107
2024-12-22 00:00:00,BTC,97202.82496847633,53058382639.48845,1922768195068.165
2024-12-23 00:00:00,BTC,95094.27394862173,44619017105.36954,1884599149192.4587
2024-12-24 00:00:00,BTC,94644.91085464321,64937790292.61125,1874912975786.6604
2024-12-25 00:00:00,BTC,98695.71400782601,49169088282.15742,1951173788529.116
2024-12-26 00:00:00,BTC,99344.95417367229,33963749856.44743,1966481159354.1177
2024-12-27 00:00:00,BTC,95678.31244565405,45049342388.18843,1894744251986.1084
2024-12-28 00:00:00,BTC,94331.94727053077,41498540807.666954,1867708753554.924
2024-12-29 00:00:00,BTC,95184.61945288602,22429850903.940086,1885556552231.4314
2024-12-30 00:00:00,BTC,93663.44751964067,24065314499.502274,1854872605738.8086
2024-12-31 00:00:00,BTC,92627.28213113277,57595164139.4709,1833188187477.531
2025-01-01 00:00:00,BTC,93507.85874741491,45327464907.74362,1851839954625.13
2025-01-02 00:00:00,BTC,94384.1761153871,23275007789.496334,1869193319140.2422
2025-01-03 00:00:00,BTC,96852.14681235075,45157338602.617516,1917905016063.62
2025-01-04 00:00:00,BTC,98084.34279280754,35721645948.10051,1942834829349.9563
2025-01-05 00:00:00,BTC,98256.73876849933,20979035420.980793,1946611205641.351
