date,ticker,open,high,low,close,volume,daily_return
2023-10-02 04:00:00,AAPL,171.22,174.3,170.93,173.75,52164535.0,
2023-10-03 04:00:00,AAPL,172.255,173.63,170.82,172.4,49594613.0,-0.007769784172661831
2023-10-04 04:00:00,AAPL,171.09,174.21,170.97,173.66,53020286.0,0.007308584686774866
2023-10-05 04:00:00,AAPL,173.79,175.45,172.68,174.91,48527918.0,0.007197973050788953
2023-10-06 04:00:00,AAPL,173.8,177.99,173.18,177.49,57266675.0,0.014750443085015164
2023-10-09 04:00:00,AAPL,176.81,179.05,175.8,178.99,42390772.0,0.008451180348188592
2023-10-10 04:00:00,AAPL,178.1,179.72,177.95,178.39,43698019.0,-0.003352142577797812
2023-10-11 04:00:00,AAPL,178.2,179.85,177.6,179.8,47551098.0,0.007904030494983116
2023-10-12 04:00:00,AAPL,180.07,182.34,179.04,180.71,56743119.0,0.0050611790878754
2023-10-13 04:00:00,AAPL,181.42,181.93,178.14,178.85,51456082.0,-0.010292734215040733
2023-10-16 04:00:00,AAPL,176.75,179.075,176.51,178.72,52516984.0,-0.0007268660889012679
2023-10-17 04:00:00,AAPL,176.645,178.42,174.8,177.15,57549350.0,-0.008784691136973999
2023-10-18 04:00:00,AAPL,175.58,177.575,175.11,175.84,54764375.0,-0.007394863110358418
2023-10-19 04:00:00,AAPL,176.04,177.84,175.19,175.46,59302863.0,-0.002161055505004561
2023-10-20 04:00:00,AAPL,175.31,175.42,172.64,172.88,64244028.0,-0.014704206086857519
2023-10-23 04:00:00,AAPL,170.91,174.01,169.93,173.0,55980109.0,0.0006941230911614582
2023-10-24 04:00:00,AAPL,173.05,173.67,171.45,173.44,43816644.0,0.0025433526011560126
2023-10-25 04:00:00,AAPL,171.88,173.06,170.65,171.1,57156962.0,-0.013491697416974202
2023-10-26 04:00:00,AAPL,170.37,171.3775,165.67,166.89,70625258.0,-0.02460549386323796
2023-10-27 04:00:00,AAPL,166.91,168.96,166.83,168.22,58499129.0,0.007969321109713157
2023-10-30 04:00:00,AAPL,169.02,171.17,168.87,170.29,51130955.0,0.0123053144691474
2023-10-31 04:00:00,AAPL,169.35,170.9,167.9,170.77,44846017.0,0.0028187210053438605
2023-11-01 04:00:00,AAPL,171.0,174.23,170.12,173.97,56934906.0,0.018738654330385796
2023-11-02 04:00:00,AAPL,175.52,177.78,175.46,177.57,77334752.0,0.0206932229694774
2023-11-03 04:00:00,AAPL,174.24,176.82,173.35,176.65,79829246.0,-0.005181055358450148
2023-11-06 05:00:00,AAPL,176.38,179.43,176.21,179.23,63841310.0,0.014605151429380125
2023-11-07 05:00:00,AAPL,179.18,182.44,178.97,181.82,70529966.0,0.01445070579702068
2023-11-08 05:00:00,AAPL,182.35,183.45,181.59,182.89,49340282.0,0.005884941150588352
2023-11-09 05:00:00,AAPL,182.96,184.12,181.81,182.41,53763540.0,-0.002624528405052118
2023-11-10 05:00:00,AAPL,183.97,186.565,183.53,186.4,66177922.0,0.021873800778466235
2023-11-13 05:00:00,AAPL,185.82,186.03,184.21,184.8,43627519.0,-0.008583690987124415
2023-11-14 05:00:00,AAPL,187.7,188.11,186.3,187.44,60108378.0,0.014285714285714235
2023-11-15 05:00:00,AAPL,187.845,189.5,187.78,188.01,53790499.0,0.0030409731113956173
2023-11-16 05:00:00,AAPL,189.57,190.96,188.65,189.71,54412915.0,0.009042072230200704
2023-11-17 05:00:00,AAPL,190.25,190.38,188.57,189.69,50941404.0,-0.00010542406831481888
2023-11-20 05:00:00,AAPL,189.89,191.905,189.88,191.45,46538614.0,0.009278296167430922
2023-11-21 05:00:00,AAPL,191.41,191.52,189.74,190.64,38134485.0,-0.004230869678767291
2023-11-22 05:00:00,AAPL,191.49,192.93,190.825,191.31,39630011.0,0.0035144775493076708
2023-11-24 05:00:00,AAPL,190.87,190.9,189.25,189.97,24048344.0,-0.0070043385081804965
2023-11-27 05:00:00,AAPL,189.92,190.67,188.9,189.79,40552609.0,-0.0009475180291624863
2023-11-28 05:00:00,AAPL,189.78,191.08,189.4,190.4,38415419.0,0.0032140787185837016
2023-11-29 05:00:00,AAPL,190.9,192.09,188.97,189.37,43014224.0,-0.005409663865546199
2023-11-30 05:00:00,AAPL,189.84,190.32,188.19,189.95,48794366.0,0.003062787136294043
2023-12-01 05:00:00,AAPL,190.33,191.56,189.23,191.24,45704823.0,0.006791260858120651
2023-12-04 05:00:00,AAPL,189.98,190.05,187.4511,189.43,43389519.0,-0.009464547165864867
2023-12-05 05:00:00,AAPL,190.21,194.4,190.18,193.42,66628398.0,0.02106318956870612
2023-12-06 05:00:00,AAPL,194.45,194.76,192.11,192.32,41089737.0,-0.005687105780167512
2023-12-07 05:00:00,AAPL,193.63,195.0,193.59,194.27,47477655.0,0.010139351081530856
